Date,Stock,Close_Price,Sector
2005-01-01,AAPL,0.14591591504392631,Technology
2005-01-01,ABBV,3.1264741918993852,Healthcare
2005-01-01,AEP,2.7612111617832755,Utilities
2005-01-01,AMT,2.61841169681249,Real Estate
2005-01-01,AMZN,0.770571083703111,Technology
2005-01-01,AMZN,0.770571083703111,Consumer Discretionary
2005-01-01,APD,3.5118381597652593,Materials
2005-01-01,BA,3.567272488090008,Industrials
2005-01-01,BAC,3.38888762014148,Financials
2005-01-01,C,5.73794346668691,Financials
2005-01-01,CAT,3.287296124426762,Industrials
2005-01-01,CMCSA,2.0256344674655633,Communication Services
2005-01-01,COP,2.9098108549339754,Energy
2005-01-01,COST,3.4638070852656417,Consumer Staples
2005-01-01,CVX,3.2425839471952873,Energy
2005-01-01,D,2.7331868327019055,Utilities
2005-01-01,DUK,2.918141926017165,Utilities
2005-01-01,ECL,3.28488316498671,Materials
2005-01-01,EOG,2.5817361928757663,Energy
2005-01-01,FCX,2.4195153922628383,Materials
2005-01-01,GOOGL,1.5846763086638433,Technology
2005-01-01,GOOGL,1.5846763086638433,Communication Services
2005-01-01,GS,4.374662588535617,Financials
2005-01-01,HD,3.2342749878605406,Consumer Discretionary
2005-01-01,HON,3.084581114344476,Industrials
2005-01-01,JNJ,3.600271948419713,Healthcare
2005-01-01,JPM,3.075867028570443,Financials
2005-01-01,KO,2.4272691242423288,Consumer Staples
2005-01-01,LIN,3.383169397169831,Materials
2005-01-01,MCD,2.9305872860007507,Consumer Discretionary
2005-01-01,META,3.3839616969687407,Technology
2005-01-01,META,3.3839616969687407,Communication Services
2005-01-01,MRK,2.5687160903965442,Healthcare
2005-01-01,MSFT,2.903456444949347,Technology
2005-01-01,NEE,1.6631171740165727,Utilities
2005-01-01,NFLX,0.49643677228760763,Communication Services
2005-01-01,NKE,2.136615770493808,Consumer Discretionary
2005-01-01,PEP,3.4292711027535474,Consumer Staples
2005-01-01,PFE,2.3046661323056457,Healthcare
2005-01-01,PG,3.414222536397942,Consumer Staples
2005-01-01,PLD,2.955734609177163,Real Estate
2005-01-01,SHW,2.3923082423153392,Materials
2005-01-01,SLB,3.1156025662220532,Energy
2005-01-01,SO,2.6192806460111204,Utilities
2005-01-01,SPG,3.1814818906241613,Real Estate
2005-01-01,TSLA,0.4628953219237585,Consumer Discretionary
2005-01-01,UNH,3.5666562576382477,Healthcare
2005-01-01,UNP,2.3000603937287023,Industrials
2005-01-01,UPS,3.7177394411747646,Industrials
2005-01-01,VNQ,3.087125594752498,Real Estate
2005-01-01,VZ,2.451531486424299,Communication Services
2005-01-01,WELL,2.5058940264491136,Real Estate
2005-01-01,WFC,2.8597465470517256,Financials
2005-01-01,WMT,2.452358103948381,Consumer Staples
2005-01-01,XOM,3.270745697082395,Energy
2005-02-01,AAPL,0.3001039919885512,Technology
2005-02-01,ABBV,3.1264741918993852,Healthcare
2005-02-01,AEP,2.7073017317785513,Utilities
2005-02-01,AMT,2.6299341352716454,Real Estate
2005-02-01,AMZN,0.5647454337674817,Technology
2005-02-01,AMZN,0.5647454337674817,Consumer Discretionary
2005-02-01,APD,3.5729120671050083,Materials
2005-02-01,BA,3.6501087739579567,Industrials
2005-02-01,BAC,3.394908127163247,Financials
2005-02-01,C,5.710453391490284,Financials
2005-02-01,CAT,3.3563253794681986,Industrials
2005-02-01,CMCSA,2.033987092217125,Communication Services
2005-02-01,COP,3.0880102918354,Energy
2005-02-01,COST,3.449316781911513,Consumer Staples
2005-02-01,CVX,3.374642977911322,Energy
2005-02-01,D,2.7706712513885416,Utilities
2005-02-01,DUK,2.9255792657591106,Utilities
2005-02-01,ECL,3.225501470762268,Materials
2005-02-01,EOG,2.7873727868323197,Energy
2005-02-01,FCX,2.554175603664445,Materials
2005-02-01,GOOGL,1.544891253242582,Technology
2005-02-01,GOOGL,1.544891253242582,Communication Services
2005-02-01,GS,4.385853075255567,Financials
2005-02-01,HD,3.203760560485407,Consumer Discretionary
2005-02-01,HON,3.13841441102937,Industrials
